task_id,category,variant,verifier_score,contradiction_rate,synthesis_confidence,time_to_retained_policy,reruns_to_retained_policy,token_cost_per_retained_policy,checkpoint_acceptance_rate,correction_uptake_rate,checkpoint_to_improvement_lift,checkpoint_attribution_index
adversarial-001,adversarial_conflict_reasoning,rehydration_only,0.640614,0.390865,0.738971,137.528918,2.443399,3636.777231,0.683118,0.558118,0.089221,0.055372
adversarial-001,adversarial_conflict_reasoning,rehydration_plus_fixed_checkpoint,0.655454,0.334409,0.727441,121.812946,2.080664,3344.151713,0.780378,0.675378,0.115556,0.084111
adversarial-001,adversarial_conflict_reasoning,rehydration_plus_adaptive_checkpoint,0.727092,0.310616,0.815307,108.154406,1.747024,3054.144752,0.902835,0.807835,0.227104,0.19425
adversarial-002,adversarial_conflict_reasoning,baseline_autonomous,0.623693,0.444796,0.681891,156.863969,3.004281,4043.578279,0.602192,0.452192,0.016307,0.008597
adversarial-002,adversarial_conflict_reasoning,rehydration_only,0.669639,0.393429,0.707297,140.507359,2.503706,3696.671063,0.661112,0.531112,0.070527,0.042042
adversarial-002,adversarial_conflict_reasoning,rehydration_plus_fixed_checkpoint,0.715476,0.351482,0.750011,123.978888,2.118517,3397.880603,0.804866,0.694866,0.139069,0.104283
adversarial-002,adversarial_conflict_reasoning,rehydration_plus_adaptive_checkpoint,0.762943,0.314723,0.795578,110.511514,1.791193,3104.297868,0.891067,0.791067,0.214286,0.180229
adversarial-003,adversarial_conflict_reasoning,baseline_autonomous,0.598424,0.40407,0.653434,148.89615,2.813427,3864.999005,0.567515,0.427515,-0.008885,-0.004421
adversarial-003,adversarial_conflict_reasoning,rehydration_only,0.660458,0.363664,0.706993,133.169006,2.339038,3533.360687,0.650566,0.530566,0.061797,0.036495
adversarial-003,adversarial_conflict_reasoning,rehydration_plus_fixed_checkpoint,0.700138,0.321263,0.738934,117.591438,1.981423,3248.350055,0.785086,0.685086,0.120015,0.088222
adversarial-003,adversarial_conflict_reasoning,rehydration_plus_adaptive_checkpoint,0.770513,0.298292,0.82459,104.366093,1.661828,2966.761129,0.905649,0.815649,0.230197,0.198119
highstakes-001,high_stakes_decision_framing,baseline_autonomous,0.578539,0.440141,0.624089,159.665314,3.039097,4092.24195,0.640362,0.402862,-0.01493,-0.007787
highstakes-001,high_stakes_decision_framing,rehydration_only,0.636468,0.393837,0.670466,142.882598,2.52935,3740.866827,0.717256,0.499756,0.054579,0.033212
highstakes-001,high_stakes_decision_framing,rehydration_plus_fixed_checkpoint,0.713145,0.366474,0.76715,125.536888,2.124537,3437.123014,0.907271,0.709771,0.171003,0.13826
highstakes-001,high_stakes_decision_framing,rehydration_plus_adaptive_checkpoint,0.753718,0.325525,0.800653,111.94527,1.796862,3140.321638,0.983131,0.795631,0.240397,0.213805
highstakes-002,high_stakes_decision_framing,baseline_autonomous,0.565731,0.452313,0.616033,162.868625,3.088905,4157.936039,0.641171,0.396171,-0.014325,-0.00743
highstakes-002,high_stakes_decision_framing,rehydration_only,0.655407,0.420692,0.717965,145.255697,2.556304,3799.607195,0.765685,0.540685,0.097613,0.06376
highstakes-002,high_stakes_decision_framing,rehydration_plus_fixed_checkpoint,0.678983,0.365707,0.721724,128.494575,2.171903,3493.415694,0.876049,0.671049,0.138567,0.107189
highstakes-002,high_stakes_decision_framing,rehydration_plus_adaptive_checkpoint,0.743315,0.335686,0.796805,114.195739,1.82609,3190.69712,0.987547,0.792547,0.245492,0.2185
highstakes-003,high_stakes_decision_framing,baseline_autonomous,0.580076,0.425636,0.647547,153.921517,2.886204,3968.324679,0.655326,0.422826,-0.0036,-0.001941
highstakes-003,high_stakes_decision_framing,rehydration_only,0.654783,0.389671,0.723285,137.410264,2.391846,3627.147202,0.757387,0.544887,0.090018,0.058614
highstakes-003,high_stakes_decision_framing,rehydration_plus_fixed_checkpoint,0.699234,0.347948,0.763573,121.154453,2.020337,3334.111718,0.899063,0.706563,0.16235,0.130337
highstakes-003,high_stakes_decision_framing,rehydration_plus_adaptive_checkpoint,0.733802,0.305557,0.786568,108.14301,1.711392,3046.706988,0.965915,0.783415,0.220782,0.19311
ambiguous-001,ambiguous_open_synthesis,baseline_autonomous,0.624905,0.397685,0.696448,144.168198,2.713899,3769.619845,0.626669,0.464169,0.012521,0.006829
ambiguous-001,ambiguous_open_synthesis,rehydration_only,0.662138,0.346488,0.706605,129.206362,2.263516,3447.055852,0.672519,0.530019,0.056687,0.034084
ambiguous-001,ambiguous_open_synthesis,rehydration_plus_fixed_checkpoint,0.715417,0.312336,0.762343,113.835959,1.909948,3168.45887,0.827436,0.704936,0.1349,0.103358
ambiguous-001,ambiguous_open_synthesis,rehydration_plus_adaptive_checkpoint,0.789134,0.292324,0.853848,100.852001,1.596164,2893.442498,0.953012,0.840512,0.254773,0.228471
ambiguous-002,ambiguous_open_synthesis,baseline_autonomous,0.598681,0.399514,0.701552,145.44143,2.813213,3806.413708,0.62333,0.46833,0.009983,0.005449
ambiguous-002,ambiguous_open_synthesis,rehydration_only,0.631062,0.345598,0.70322,130.429701,2.349252,3480.399195,0.661903,0.526903,0.04795,0.028502
ambiguous-002,ambiguous_open_synthesis,rehydration_plus_fixed_checkpoint,0.703387,0.320704,0.792288,114.615054,1.97454,3197.949412,0.84539,0.73039,0.152827,0.120411
ambiguous-002,ambiguous_open_synthesis,rehydration_plus_adaptive_checkpoint,0.769132,0.296471,0.869841,101.664219,1.654779,2920.445244,0.959007,0.854007,0.261655,0.237192
ambiguous-003,ambiguous_open_synthesis,baseline_autonomous,0.570599,0.408953,0.635428,150.842397,2.821013,3900.216015,0.589795,0.412295,-0.014679,-0.007355
ambiguous-003,ambiguous_open_synthesis,rehydration_only,0.646344,0.374656,0.712981,134.707785,2.339323,3565.15796,0.693412,0.535912,0.07432,0.045681
ambiguous-003,ambiguous_open_synthesis,rehydration_plus_fixed_checkpoint,0.707844,0.342494,0.783106,118.512007,1.968484,3276.539744,0.860662,0.723162,0.168416,0.13337
ambiguous-003,ambiguous_open_synthesis,rehydration_plus_adaptive_checkpoint,0.761867,0.310751,0.840146,105.371727,1.655193,2993.100805,0.956697,0.829197,0.258997,0.231271
